T,C0,C1,T_ns,T_ps
320005000,32981,33725,0.320005,0.000320005
320015000,32982,33726,0.320015,0.000320015
320025000,32983,33727,0.320025,0.000320025
320035000,32984,33728,0.320035,0.000320035
320045000,32985,33729,0.320045,0.000320045
320055000,32986,33730,0.320055,0.000320055
320065000,32987,33731,0.320065,0.000320065
320075000,32988,33732,0.320075,0.000320075
320085000,32989,33733,0.320085,0.000320085
320095000,32990,33734,0.320095,0.000320095
320105000,32991,33735,0.320105,0.000320105
320115000,32992,33736,0.320115,0.000320115
320125000,32993,33737,0.320125,0.000320125
320135000,32994,33738,0.320135,0.000320135
320145000,32995,33739,0.320145,0.000320145
320155000,32996,33740,0.320155,0.000320155
320165000,32997,33741,0.320165,0.000320165
320175000,32998,33742,0.320175,0.000320175
320185000,32999,33743,0.320185,0.000320185
320195000,33000,33744,0.320195,0.000320195
320205000,33001,33745,0.320205,0.000320205
320215000,33002,33746,0.320215,0.000320215
320225000,33003,33747,0.320225,0.000320225
320235000,33004,33748,0.320235,0.000320235
320245000,33005,33749,0.320245,0.000320245
320255000,33006,33750,0.320255,0.000320255
320265000,33007,33751,0.320265,0.000320265
320275000,33008,33752,0.320275,0.000320275
320285000,33009,33753,0.320285,0.000320285
320295000,33010,33754,0.320295,0.000320295
320305000,33011,33755,0.320305,0.000320305
320315000,33012,33756,0.320315,0.000320315
320325000,33013,33757,0.320325,0.000320325
320335000,33014,33758,0.320335,0.000320335
320345000,33015,33759,0.320345,0.000320345
320355000,33016,33760,0.320355,0.000320355
320365000,33017,33761,0.320365,0.000320365
320375000,33018,33762,0.320375,0.000320375
320385000,33019,33763,0.320385,0.000320385
320395000,33020,33764,0.320395,0.000320395
320405000,33021,33765,0.320405,0.000320405
320415000,33022,33766,0.320415,0.000320415
320425000,33023,33767,0.320425,0.000320425
320435000,33024,33768,0.320435,0.000320435
320445000,33025,33769,0.320445,0.000320445
320455000,33026,33770,0.320455,0.000320455
320465000,33027,33771,0.320465,0.000320465
320475000,33028,33772,0.320475,0.000320475
320485000,33029,33773,0.320485,0.000320485
320495000,33030,33774,0.320495,0.000320495
320505000,33031,33775,0.320505,0.000320505
320515000,33032,33776,0.320515,0.000320515
320525000,33033,33777,0.320525,0.000320525
320535000,33034,33778,0.320535,0.000320535
320545000,33035,33779,0.320545,0.000320545
320555000,33036,33780,0.320555,0.000320555
320565000,33037,33781,0.320565,0.000320565
320575000,33038,33782,0.320575,0.000320575
320585000,33039,33783,0.320585,0.000320585
320595000,33040,33784,0.320595,0.000320595
320605000,33041,33785,0.320605,0.000320605
320615000,33042,33786,0.320615,0.000320615
320625000,33043,33787,0.320625,0.000320625
320635000,33044,33788,0.320635,0.000320635
320645000,33045,33789,0.320645,0.000320645
320655000,33046,33790,0.320655,0.000320655
320665000,33047,33791,0.320665,0.000320665
320675000,33048,33792,0.320675,0.000320675
320685000,33049,33793,0.320685,0.000320685
320695000,33050,33794,0.320695,0.000320695
320705000,33051,33795,0.320705,0.000320705
320715000,33052,33796,0.320715,0.000320715
320725000,33053,33797,0.320725,0.000320725
320735000,33054,33798,0.320735,0.000320735
320745000,33055,33799,0.320745,0.000320745
320755000,33056,33800,0.320755,0.000320755
320765000,33057,33801,0.320765,0.000320765
320775000,33058,33802,0.320775,0.000320775
320785000,33059,33803,0.320785,0.000320785
320795000,33060,33804,0.320795,0.000320795
320805000,33061,33805,0.320805,0.000320805
320815000,33062,33806,0.320815,0.000320815
320825000,33063,33807,0.320825,0.000320825
320835000,33064,33808,0.320835,0.000320835
320845000,33065,33809,0.320845,0.000320845
320855000,33066,33810,0.320855,0.000320855
320865000,33067,33811,0.320865,0.000320865
320875000,33068,33812,0.320875,0.000320875
320885000,33069,33813,0.320885,0.000320885
320895000,33070,33814,0.320895,0.000320895
320905000,33071,33815,0.320905,0.000320905
320915000,33072,33816,0.320915,0.000320915
320925000,33073,33817,0.320925,0.000320925
320935000,33074,33818,0.320935,0.000320935
320945000,33075,33819,0.320945,0.000320945
320955000,33076,33820,0.320955,0.000320955
320965000,33077,33821,0.320965,0.000320965
320975000,33078,33822,0.320975,0.000320975
320985000,33079,33823,0.320985,0.000320985
320995000,33080,33824,0.320995,0.000320995
640005000,64981,65719,0.640005,0.000640005
640015000,64982,65720,0.640015,0.000640015
640025000,64983,65721,0.640025,0.000640025
640035000,64984,65722,0.640035,0.000640035
640045000,64985,65723,0.640045,0.000640045
640055000,64986,65724,0.640055,0.000640055
640065000,64987,65725,0.640065,0.000640065
640075000,64988,65726,0.640075,0.000640075
640085000,64989,65727,0.640085,0.000640085
640095000,64990,65728,0.640095,0.000640095
640105000,64991,65729,0.640105,0.000640105
640115000,64992,65730,0.640115,0.000640115
640125000,64993,65731,0.640125,0.000640125
640135000,64994,65732,0.640135,0.000640135
